frame,lat,lon
0,48.98254523586602,8.390366100045
1,48.98255184313602,8.39037134830465
2,48.98255845040602,8.3903765965643
3,48.98256505767601,8.39038184482395
4,48.98257166494601,8.3903870930836
5,48.98257827221602,8.39039234134325
6,48.98258487948601,8.3903975896029
7,48.98259148675601,8.39040283786255
8,48.98259809402601,8.3904080861222
9,48.98260470129601,8.39041333438185
10,48.98261130856601,8.3904185826415
11,48.982617915836,8.39042383090115
12,48.982624523106,8.3904290791608
13,48.98263113037601,8.39043432742045
14,48.982637737646,8.3904395756801
15,48.982644318256,8.390444792625
16,48.982650952186,8.3904500721994
17,48.982657660454,8.3904553709421
18,48.982665137122,8.3904612276202
19,48.982672004277,8.3904666182046
20,48.982678935435,8.390472038199
21,48.982686593859,8.3904780844487
22,48.982693630101,8.3904835718059
23,48.982701388413,8.3904896796788
24,48.982708480501,8.3904952233969
25,48.98271560178,8.3905008217311
26,48.982723503072,8.3905069832569
27,48.982730719421,8.3905126248211
28,48.982737977929,8.3905183197274
29,48.982745997378,8.3905246227375
30,48.982753313249,8.3905303911038
31,48.982761421614,8.390536795143
32,48.982768829317,8.3905426637012
33,48.982776278075,8.3905485866776
34,48.982784506718,8.3905551465813
35,48.982792012038,8.3905611229085
36,48.982799519896,8.3905671714197
37,48.982807819364,8.3905738073227
38,48.982815424186,8.390579818954
39,48.982823218967,8.3905859504922
40,48.982832177739,8.3905929478529
41,48.98284022461,8.3905992015345
42,48.982849088622,8.3906060849486
43,48.982857052609,8.3906122820438
44,48.982865060887,8.390618472133
45,48.982873779954,8.3906251339677
46,48.982881722937,8.3906311931494
47,48.982889568954,8.3906372251448
48,48.982898187537,8.3906437891796
49,48.982905936067,8.3906497741015
50,48.982913662591,8.3906557612821
51,48.982922149771,8.3906622646921
52,48.982929829753,8.3906680890171
53,48.982938244467,8.3906744652488
54,48.98294585271,8.3906802836285
55,48.982953447369,8.3906861125618
56,48.982961760777,8.3906924757347
57,48.982969289053,8.3906982332511
58,48.982976780843,8.3907039749871
59,48.98298498149,8.3907103300671
60,48.982992419773,8.3907160510225
61,48.983000585116,8.3907223348852
62,48.983008020023,8.3907279582431
63,48.98301543164,8.3907335169347
64,48.983023481111,8.3907396367104
65,48.983030691158,8.390745175838
66,48.983037827917,8.3907506605711
67,48.983045634021,8.3907565266844
68,48.983052612585,8.3907618023782
69,48.98305949005,8.3907669762706
70,48.983066936876,8.3907725743105
71,48.983073611835,8.3907775578592
72,48.983080843223,8.3907829484154
73,48.983087313614,8.3907877727469
74,48.983093690879,8.3907925194709
75,48.9831005998,8.390797621799
76,48.983106795347,8.3908021631809
77,48.98311284674,8.3908066828371
78,48.983119364059,8.3908114288131
79,48.983125135873,8.3908156335821
80,48.983131326705,8.3908201178698
81,48.983136810398,8.3908240549779
82,48.983142131156,8.3908278571654
83,48.98314777972,8.3908319344397
84,48.98315274358,8.3908355467417
85,48.983157571154,8.3908390906567
86,48.983162745339,8.3908428494921
87,48.983167342677,8.3908461316063
88,48.983171819044,8.3908493250281
89,48.983176596149,8.3908528283376
90,48.983180791614,8.3908560591831
91,48.983185306476,8.3908595208613
92,48.983189304657,8.3908625819119
93,48.983193241168,8.3908655104678
94,48.98319742908,8.3908687781999
95,48.983201065755,8.3908718456107
96,48.983204910746,8.3908752869102
97,48.983208294427,8.3908785029796
98,48.983211595755,8.3908818089409
99,48.983215103559,8.390885589242
100,48.983218187782,8.3908891519009
101,48.983221122857,8.3908928648881
102,48.983224172612,8.3908971106827
103,48.983226762944,8.3909011134759
104,48.983229415751,8.3909056797553
105,48.983231610975,8.3909099842478
106,48.983233612207,8.3909144190442
107,48.983235557463,8.3909194508147
108,48.983237102099,8.3909241321287
109,48.983238584944,8.3909294079173
110,48.983239699504,8.3909343630421
111,48.983240614686,8.3909393838319
